3,12,Missed Shot
-61,264,Missed Shot
-1,259,Missed Shot
-120,232,Made Shot
3,20,Made Shot
2,13,Missed Shot
0,17,Made Shot
26,65,Missed Shot
-160,180,Missed Shot
2,9,Made Shot
115,218,Missed Shot
78,235,Made Shot
145,199,Missed Shot
-9,31,Missed Shot
103,231,Made Shot
-3,16,Made Shot
92,263,Made Shot
-1,18,Missed Shot
-7,22,Made Shot
157,185,Missed Shot
-12,272,Missed Shot
116,237,Missed Shot
-93,239,Made Shot
-9,37,Made Shot
123,232,Missed Shot
4,10,Missed Shot
0,20,Missed Shot
-40,268,Made Shot
-9,14,Missed Shot
1,26,Made Shot
30,274,Missed Shot
169,201,Made Shot
164,218,Made Shot
0,11,Made Shot
-18,4,Made Shot
-6,16,Made Shot
-84,252,Missed Shot
79,247,Missed Shot
221,65,Missed Shot
-16,13,Missed Shot
4,274,Missed Shot
-45,62,Made Shot
-70,274,Made Shot
-143,231,Missed Shot
82,85,Missed Shot
-18,5,Made Shot
178,179,Made Shot
-206,162,Missed Shot
-15,1,Made Shot
-71,256,Missed Shot
157,206,Missed Shot
83,68,Made Shot
-11,0,Missed Shot
0,9,Missed Shot
166,189,Made Shot
-8,5,Missed Shot
-13,-4,Missed Shot
33,116,Made Shot
-79,236,Made Shot
-165,146,Missed Shot
-20,15,Made Shot
155,218,Made Shot
-9,13,Made Shot
-145,200,Made Shot
-9,15,Missed Shot
112,103,Made Shot
23,247,Missed Shot
8,61,Missed Shot
12,35,Missed Shot
-6,10,Missed Shot
-27,78,Missed Shot
-14,59,Missed Shot
-17,13,Made Shot
4,81,Missed Shot
26,60,Made Shot
44,277,Made Shot
-20,26,Missed Shot
-11,27,Made Shot
-76,110,Made Shot
29,80,Missed Shot
-230,32,Missed Shot
5,267,Missed Shot
-9,13,Made Shot
-90,251,Made Shot
231,86,Made Shot
-137,228,Missed Shot
-41,248,Missed Shot
-97,242,Missed Shot
-2,260,Made Shot
83,253,Made Shot
-58,246,Made Shot
-97,253,Missed Shot
127,234,Missed Shot
-16,138,Missed Shot
7,32,Missed Shot
-5,32,Made Shot
5,13,Made Shot
22,268,Made Shot
-135,229,Made Shot
198,184,Missed Shot
237,25,Made Shot
224,148,Missed Shot
8,6,Made Shot
-122,230,Missed Shot
106,283,Missed Shot
70,274,Made Shot
101,236,Missed Shot
-2,-3,Missed Shot
133,226,Missed Shot
140,215,Missed Shot
-164,215,Made Shot
-6,10,Missed Shot
10,2,Made Shot
150,200,Made Shot
-5,13,Made Shot
-215,60,Missed Shot
32,257,Missed Shot
162,186,Missed Shot
10,28,Missed Shot
96,239,Made Shot
169,180,Missed Shot
-2,9,Missed Shot
206,148,Made Shot
-154,194,Missed Shot
92,234,Made Shot
214,135,Missed Shot
-27,-1,Made Shot
172,180,Missed Shot
-113,248,Missed Shot
3,248,Missed Shot
23,17,Missed Shot
166,198,Missed Shot
-15,6,Missed Shot
-232,13,Missed Shot
-195,171,Missed Shot
-51,24,Made Shot
144,215,Missed Shot
-9,5,Made Shot
-18,5,Missed Shot
-5,261,Made Shot
7,248,Missed Shot
-234,32,Missed Shot
71,34,Made Shot
180,170,Missed Shot
-106,243,Missed Shot
-9,2,Missed Shot
-43,263,Missed Shot
-33,262,Missed Shot
-14,7,Missed Shot
-19,-1,Made Shot
-25,-10,Made Shot
13,4,Missed Shot
-174,186,Missed Shot
-1,29,Made Shot
-5,57,Missed Shot
127,233,Missed Shot
-28,-3,Missed Shot
-11,263,Missed Shot
-138,241,Missed Shot
-151,224,Made Shot
130,220,Missed Shot
33,16,Made Shot
-89,252,Made Shot
-119,236,Made Shot
109,243,Made Shot
-2,292,Made Shot
68,311,Missed Shot
-218,167,Missed Shot
38,31,Missed Shot
-136,237,Made Shot
-164,215,Missed Shot
-109,258,Made Shot
-190,188,Missed Shot
57,260,Made Shot
-220,127,Missed Shot
230,17,Missed Shot
101,246,Missed Shot
168,189,Missed Shot
-4,-1,Made Shot
-15,20,Missed Shot
-200,140,Missed Shot
-60,232,Missed Shot
231,34,Missed Shot
-5,5,Made Shot
-74,243,Missed Shot
107,225,Made Shot
8,252,Missed Shot
10,17,Made Shot
-19,7,Made Shot
156,195,Made Shot
-96,236,Missed Shot
21,10,Made Shot
140,207,Missed Shot
-2,270,Missed Shot
32,105,Missed Shot
102,106,Missed Shot
-228,107,Missed Shot
0,11,Missed Shot
135,212,Made Shot
10,20,Made Shot
138,223,Missed Shot
-111,238,Missed Shot
-153,201,Missed Shot
25,6,Missed Shot
9,4,Made Shot
-127,222,Missed Shot
-7,12,Made Shot
-36,278,Made Shot
173,315,Missed Shot
-176,221,Made Shot
107,235,Missed Shot
-10,24,Made Shot
-201,178,Made Shot
110,232,Missed Shot
111,232,Missed Shot
2,17,Missed Shot
212,147,Missed Shot
65,241,Missed Shot
-17,21,Made Shot
-11,27,Made Shot
-2,20,Made Shot
14,29,Made Shot
-45,259,Missed Shot
-16,174,Missed Shot
134,218,Missed Shot
-4,17,Made Shot
-26,260,Made Shot
1,21,Made Shot
60,261,Made Shot
130,242,Made Shot
-91,247,Missed Shot
171,235,Missed Shot
-233,101,Made Shot
0,8,Made Shot
-8,11,Missed Shot
8,-3,Made Shot
-2,11,Missed Shot
144,209,Made Shot
10,-4,Made Shot
-180,168,Missed Shot
174,190,Made Shot
3,257,Missed Shot
-3,-1,Made Shot
5,1,Missed Shot
-9,79,Missed Shot
-209,156,Made Shot
-80,250,Missed Shot
-11,8,Made Shot
-6,9,Missed Shot
-199,167,Made Shot
-4,10,Made Shot
33,262,Missed Shot
120,245,Missed Shot
-112,-12,Missed Shot
7,11,Made Shot
-16,9,Made Shot
159,205,Missed Shot
152,204,Made Shot
-11,19,Made Shot
-20,251,Made Shot
-120,215,Missed Shot
-140,72,Missed Shot
-7,35,Missed Shot
-19,8,Missed Shot
-14,33,Missed Shot
3,90,Missed Shot
-191,188,Missed Shot
32,32,Missed Shot
16,63,Made Shot
173,196,Missed Shot
16,116,Missed Shot
21,21,Missed Shot
-28,37,Made Shot
-8,27,Missed Shot
133,228,Missed Shot
-7,247,Made Shot
-160,241,Missed Shot
70,190,Made Shot
31,279,Missed Shot
-6,263,Missed Shot
0,101,Missed Shot
34,105,Missed Shot
14,16,Missed Shot
119,251,Missed Shot
-180,184,Made Shot
7,57,Made Shot
-211,150,Missed Shot
3,8,Made Shot
-8,11,Made Shot
144,221,Made Shot
-24,260,Made Shot
-21,10,Missed Shot
-3,6,Made Shot
-161,197,Made Shot
-135,221,Missed Shot
-3,-1,Missed Shot
-45,10,Missed Shot
4,-8,Missed Shot
-176,191,Missed Shot
-6,-5,Made Shot
-29,59,Made Shot
-8,0,Missed Shot
-148,215,Made Shot
-2,7,Made Shot
147,132,Missed Shot
-25,246,Missed Shot
171,188,Missed Shot
-2,99,Made Shot
-6,-1,Made Shot
109,248,Missed Shot
-14,15,Made Shot
-75,247,Made Shot
8,6,Made Shot
-15,13,Missed Shot
2,17,Missed Shot
159,231,Missed Shot
50,105,Made Shot
0,11,Made Shot
-29,263,Made Shot
-6,20,Missed Shot
-91,234,Missed Shot
-5,3,Made Shot
0,-1,Made Shot
-50,120,Made Shot
-20,23,Missed Shot
-16,8,Made Shot
-2,26,Missed Shot
-11,11,Made Shot
139,220,Missed Shot
140,223,Made Shot
-111,256,Made Shot
64,269,Made Shot
-177,259,Missed Shot
-6,11,Made Shot
-164,227,Missed Shot
97,76,Missed Shot
151,210,Made Shot
-39,288,Missed Shot
-19,36,Missed Shot
-5,264,Missed Shot
156,195,Made Shot
155,210,Missed Shot
30,249,Missed Shot
-2,43,Made Shot
-141,218,Missed Shot
-190,167,Made Shot
141,207,Made Shot
129,211,Missed Shot
84,241,Made Shot
-45,251,Missed Shot
-111,222,Missed Shot
-21,13,Made Shot
30,116,Made Shot
-33,29,Missed Shot
96,237,Missed Shot
43,258,Made Shot
-42,262,Missed Shot
-24,52,Made Shot
-30,3,Made Shot
-64,21,Missed Shot
232,40,Missed Shot
-227,-7,Missed Shot
41,260,Missed Shot
-189,179,Made Shot
-93,231,Missed Shot
-47,9,Missed Shot
232,10,Missed Shot
-9,3,Made Shot
-19,1,Made Shot
110,257,Missed Shot
-15,8,Made Shot
-10,4,Made Shot
143,277,Made Shot
